trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3402,False,"{'a': 0.01, 'e': 0.033339913371439905}",20,15,9.398305375157477,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3403,False,"{'a': 0.01, 'e': 0.03330659012246989}",30,22,14.547298471531038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3404,False,"{'a': 0.01, 'e': 0.03327330018009277}",20,10,8.098409353459202,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
3405,False,"{'a': 0.01, 'e': 0.03324004351101861}",25,18,14.36145380922262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3406,False,"{'a': 0.01, 'e': 0.03320682008199072}",20,12,14.06156273959178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3407,False,"{'a': 0.01, 'e': 0.03317362985978568}",20,9,20.42516779494474,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3408,False,"{'a': 0.01, 'e': 0.033140472811213274}",20,9,21.503810304468214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3409,False,"{'a': 0.01, 'e': 0.03310734890311644}",30,18,26.34778889453977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3410,False,"{'a': 0.01, 'e': 0.03307425810237125}",20,16,7.438218308979683,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3411,False,"{'a': 0.01, 'e': 0.03304120037588693}",20,7,23.471560938133265,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3412,False,"{'a': 0.01, 'e': 0.03300817569060575}",25,12,23.279703603478673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3413,False,"{'a': 0.01, 'e': 0.032975184013503}",20,15,6.8395454787873655,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3414,False,"{'a': 0.01, 'e': 0.032942225311587005}",25,17,5.273491187448764,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3415,False,"{'a': 0.01, 'e': 0.03290929955189908}",30,7,34.09441832152509,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
3416,False,"{'a': 0.01, 'e': 0.03287640670151345}",30,19,21.061604403867253,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3417,False,"{'a': 0.01, 'e': 0.03284354672753726}",30,17,25.07901233079066,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3418,False,"{'a': 0.01, 'e': 0.032810719597110516}",35,22,24.44362001607877,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
